type	name	kingdom	P1492N_rna	P1492T_rna
genus	Abiotrophia	Bacteria	0.0	0.0832701452194375
genus	Acaricomes	Bacteria	0.0004049775552245	0.0
genus	Acetivibrio	Bacteria	0.0040821737566632	0.0035434104348696
genus	Acetoanaerobium	Bacteria	1.4287608148321524	0.0212604626092181
genus	Achromobacter	Bacteria	0.050114370131481	0.2374359500683197
genus	Acidothermus	Bacteria	0.0	0.0038923826746674
genus	Acidovorax	Bacteria	1.5295964830291418	0.3871204096749239
genus	Acinetobacter	Bacteria	4.527130696139633	1.2189331895951754
genus	Actinoalloteichus	Bacteria	0.0	0.0052645351741981
genus	Actinobacillus	Bacteria	0.0040821737566632	0.0
genus	Actinokineospora	Bacteria	0.0	0.0027562062880276
genus	Actinomyces	Bacteria	0.1428760814832153	0.8362448626292445
genus	Actinoplanes	Bacteria	0.0	0.000581840793903
genus	Actinosynnema	Bacteria	0.0714380407416076	0.0002909203969515
genus	Adhaeribacter	Bacteria	0.0163286950266531	0.0
genus	Advenella	Bacteria	0.0097972170159919	0.0
genus	Aerococcus	Bacteria	0.0081643475133265	0.0141736417394787
genus	Aeromonas	Bacteria	0.0938899964032558	0.0566945669579149
genus	Aestuariivita	Bacteria	0.0135121729182029	0.01564751335933
genus	Afipia	Bacteria	0.5417959005343481	1.9322381008705216
genus	Agreia	Bacteria	0.0028313213426132	0.0443797014187791
genus	Agrobacterium	Bacteria	0.0680185510398805	0.2102247404625364
genus	Agromyces	Bacteria	0.0	0.0010967698965072
genus	Alicycliphilus	Bacteria	1.1217985361645582	0.0204235978759211
genus	Alishewanella	Bacteria	0.0653147801066127	0.0
genus	Alkalilimnicola	Bacteria	0.0204108687833164	0.0
genus	Alloactinosynnema	Bacteria	0.0	0.0012093693137819
genus	Allokutzneria	Bacteria	0.0	0.0001221865667196
genus	Alloprevotella	Bacteria	0.0163286950266531	0.0
genus	Altererythrobacter	Bacteria	0.0	0.0002214631521793
genus	Amycolatopsis	Bacteria	0.0	0.0005862045998573
genus	Anaerobacillus	Bacteria	0.0	0.0075407398603847
genus	Anaerococcus	Bacteria	1.134844304352395	0.0
genus	Anaerostipes	Bacteria	0.0054428983422177	0.0023622736232464
genus	Anoxybacillus	Bacteria	0.1820337464513544	0.0
genus	Aquabacterium	Bacteria	0.0064110795661806	0.0
genus	Aquincola	Bacteria	0.1056539230523398	0.0014690682076137
genus	Archangium	Bacteria	0.0032657390053306	0.0
genus	Arcobacter	Bacteria	0.65722997482279	0.0
genus	Aromatoleum	Bacteria	0.3069276293740109	0.004783604087074
genus	Arthrobacter	Bacteria	0.0127753285007542	0.0175598319466499
genus	Asterionella	Eukaryota	0.036987410073767	0.0021935397930145
genus	Asterionellopsis	Eukaryota	0.1431563259514306	0.0039652450104494
genus	Atopobium	Bacteria	0.0163286950266531	0.5102511026212339
genus	Aureimonas	Bacteria	0.1939032534415064	0.0265755782615226
genus	Azoarcus	Bacteria	0.2684515218072386	0.01576817643517
genus	Azospira	Bacteria	0.0121465564908545	0.0
genus	Bacillus	Bacteria	0.024443165164437	0.0079987279669484
genus	Bacteroides	Bacteria	0.4204638969363192	0.0212604626092181
genus	Bariatricus	Bacteria	0.0	0.0177170521743484
genus	Beijerinckia	Bacteria	0.0033399603463608	0.0
genus	Bergeriella	Bacteria	0.0084705105450763	0.1234318647024497
genus	Bifidobacterium	Bacteria	2.207437736344949	0.1784595169727207
genus	Blastomonas	Bacteria	0.0034990060771399	0.030794147521317
genus	Blautia	Bacteria	0.0445540107155822	0.051970019711422
genus	Bordetella	Bacteria	0.0903242474638919	0.0539488259877664
genus	Bosea	Bacteria	0.0061232606349949	0.0489581208417827
genus	Brachybacterium	Bacteria	0.0	0.0035434104348696
genus	Brachymonas	Bacteria	0.4970966005345921	0.0086172642422692
genus	Bradyrhizobium	Bacteria	2.5775886276077347	9.384278365427082
genus	Brevundimonas	Bacteria	0.5448940607341671	0.9079411453813676
genus	Brucella	Bacteria	0.0073312508282932	0.0129673743573954
genus	Bulleidia	Bacteria	0.0040821737566632	0.0850418504368724
genus	Burkholderia	Bacteria	1.1402886193538548	1.6516411575209893
genus	Butyricicoccus	Bacteria	0.0081643475133265	0.0053151156523045
genus	Butyricimonas	Bacteria	0.0081643475133265	0.0
genus	Butyrivibrio	Bacteria	0.0122465212699898	0.0026575578261522
genus	Caballeronia	Bacteria	0.0037503122702597	0.0058163781317412
genus	Caenimonas	Bacteria	0.0055355168816223	0.0017226858328972
genus	Caldimonas	Bacteria	0.0005267320976339	0.0
genus	Campylobacter	Bacteria	0.2000265140765013	0.155910059134266
genus	Candidatus_Accumulibacter	Bacteria	0.0060232958558596	0.0
genus	Candidatus_Gullanella	Bacteria	0.0	0.0023622736232464
genus	Candidatus_Methanoplasma	Archaea	0.0	0.0070868208697393
genus	Candidatus_Moranella	Bacteria	0.0	0.0041339788406812
genus	Candidatus_Paracaedibacter	Bacteria	0.097972170159919	0.0035434104348696
genus	Candidatus_Soleaferrea	Bacteria	0.0	0.0035434104348696
genus	Candidatus_Thiodiazotropha	Bacteria	0.0073479127619939	0.0007086820869739
genus	Candidatus_Thioglobus	Bacteria	0.0	0.0041339788406812
genus	Capnocytophaga	Bacteria	0.0600662709909027	0.5208813339258435
genus	Carnobacterium	Bacteria	0.0017495030385699	0.0456702364263256
genus	Catenibacterium	Bacteria	0.0367395638099696	0.0673247982625239
genus	Catonella	Bacteria	0.0	0.1133891339158298
genus	Caulobacter	Bacteria	0.0367395638099696	0.5704890800140185
genus	Cedecea	Bacteria	0.0004499059044249	3.769585569010292e-05
genus	Celeribacter	Bacteria	1.3207844029967402	1.4974915134717734
genus	Cellulomonas	Bacteria	0.0628123816458949	0.214283083666593
genus	Cerataulina	Eukaryota	0.0326573900533063	0.0035434104348696
genus	Chaetoceros	Eukaryota	0.0326573900533063	0.0035434104348696
genus	Chishuiella	Bacteria	0.0571504325932861	0.0070868208697393
genus	Chondromyces	Bacteria	0.0204108687833164	0.0
genus	Chryseobacterium	Bacteria	0.3794953060094055	2.24656918870762
genus	Citreicella	Bacteria	0.0027992048617119	0.0017822510818243
genus	Citricoccus	Bacteria	0.0	0.0005062014906956
genus	Citrobacter	Bacteria	0.0183573801296488	0.0310502543180077
genus	Cloacibacterium	Bacteria	2.694234679397774	0.0569898511608207
genus	Clostridium	Bacteria	0.3042222320405455	0.1327091574773812
genus	Cnuella	Bacteria	0.0	0.0212604626092181
genus	Collimonas	Bacteria	0.0204108687833164	0.0
genus	Collinsella	Bacteria	0.0040821737566632	0.0
genus	Comamonas	Bacteria	3.310130637187704	0.0579972393255793
genus	Conexibacter	Bacteria	0.0027214491711088	0.0301189886963923
genus	Congregibacter	Bacteria	0.003401811463886	0.0005062014906956
genus	Coprococcus	Bacteria	0.0	0.0566945669579149
genus	Corallococcus	Bacteria	0.0016328695026653	0.0
genus	Corynebacterium	Bacteria	1.8244595243113824	0.2565846026661518
genus	Couchioplanes	Bacteria	0.0	0.0002909203969515
genus	Croceicoccus	Bacteria	0.0	0.0002084359079335
genus	Crocosphaera	Bacteria	0.0085725648889929	0.0
genus	Cronobacter	Bacteria	0.0011302792928395	0.0
genus	Cryocola	Bacteria	0.0	0.0037121442651015
genus	Cryptomonas	Eukaryota	0.0	0.0035434104348696
genus	Cupriavidus	Bacteria	0.6694764960927801	1.296888219162304
genus	Curtobacterium	Bacteria	0.0082538164009115	0.0185220002315443
genus	Curvibacter	Bacteria	0.0124276238118118	0.0308800983839675
genus	Cutibacterium	Bacteria	0.0022973272223646	0.0006749353209275
genus	Cyanobacterium	Bacteria	0.0102054343916582	0.0
genus	Cyanobium	Bacteria	0.0136072458555443	0.0
genus	Cyanothece	Bacteria	0.0451080200111293	0.0035434104348696
genus	Cylindrotheca	Eukaryota	0.0330299694041129	0.0
genus	Cystobacter	Bacteria	0.0097972170159919	0.0
genus	Dasania	Bacteria	0.0122465212699898	0.0
genus	Dechloromonas	Bacteria	0.4766120747574296	0.004783604087074
genus	Defluviimonas	Bacteria	0.0027992048617119	0.0070258382626175
genus	Deinococcus	Bacteria	0.0	0.0212604626092181
genus	Delftia	Bacteria	0.1349697915161356	0.0323701175675623
genus	Demequina	Bacteria	0.0033977616883338	0.0
genus	Denitrobacterium	Bacteria	0.0081643475133265	0.0070868208697393
genus	Dermacoccus	Bacteria	0.0635458381453919	0.0
genus	Desnuesiella	Bacteria	0.0003711067051512	0.0
genus	Desulfatibacillum	Bacteria	0.0598718817643949	0.0187800753048093
genus	Desulfatiglans	Bacteria	0.0081643475133265	0.0
genus	Desulfatirhabdium	Bacteria	0.0067355866984944	0.0
genus	Desulfatitalea	Bacteria	0.0008164347513326	0.0
genus	Desulfobacula	Bacteria	0.0102054343916582	0.0
genus	Desulfobulbus	Bacteria	0.0122465212699898	0.0070868208697393
genus	Desulfocapsa	Bacteria	0.0530682588366228	0.0
