type	name	kingdom	P1492N_rna	P1492T_rna
species	Abiotrophia_defectiva	Bacteria	0.0	0.0813176926537255
species	Acaricomes_phytoseiuli	Bacteria	0.0003987714012635	0.0
species	Acetivibrio_cellulolyticus	Bacteria	0.0040196157247367	0.003460327346967
species	Acetoanaerobium_sticklandii	Bacteria	1.4068655036578483	0.0207619640818022
species	Achromobacter_insolitus	Bacteria	0.0007961557715662	0.0051086844838586
species	Achromobacter_insuavis	Bacteria	0.0007961557715662	0.0012313433284109
species	Achromobacter_ruhlandii	Bacteria	0.0007308392226794	0.023983197285497
species	Achromobacter_sp.	Bacteria	0.0228622775323965	0.0240200092785499
species	Achromobacter_sp._AR476-2	Bacteria	0.0007961557715662	0.0010740557217306
species	Achromobacter_sp._ATCC35328	Bacteria	0.0062813439684657	0.0007689616326593
species	Achromobacter_sp._DH1f	Bacteria	0.0007961557715662	0.0020677907547058
species	Achromobacter_sp._DMS1	Bacteria	0.0079868016791507	0.0013284753241153
species	Achromobacter_sp._HMSC056C09	Bacteria	0.0007308392226794	0.023983197285497
species	Achromobacter_sp._HMSC057D05	Bacteria	0.0007308392226794	0.023983197285497
species	Achromobacter_sp._HMSC070F04	Bacteria	0.0007308392226794	0.023983197285497
species	Achromobacter_sp._HMSC15D03	Bacteria	0.0007308392226794	0.023983197285497
species	Achromobacter_sp._HMSC18C08	Bacteria	0.0007308392226794	0.023983197285497
species	Achromobacter_sp._MFA1_R4	Bacteria	0.0007961557715662	0.0012313433284109
species	Achromobacter_sp._Root170	Bacteria	0.0007961557715662	0.0008670983445197
species	Achromobacter_sp._Root565	Bacteria	0.0007961557715662	0.0010740557217306
species	Achromobacter_sp._Root83	Bacteria	0.0007308392226794	0.023983197285497
species	Achromobacter_spanius	Bacteria	0.0007961557715662	0.0012313433284109
species	Achromobacter_xylosoxidans	Bacteria	0.0007308392226794	0.023983197285497
species	Acidothermus_cellulolyticus	Bacteria	0.0	0.003801117161441
species	Acidovorax_avenae	Bacteria	0.0062196593849151	0.0710711229823461
species	Acidovorax_caeni	Bacteria	0.0924358285032242	0.0017893337731394
species	Acidovorax_citrulli	Bacteria	0.0062196593849151	0.0710711229823461
species	Acidovorax_ebreus	Bacteria	0.4986664441942411	0.0084152134396087
species	Acidovorax_radicis	Bacteria	0.0082247805603297	0.001802557322875
species	Acidovorax_sp._121606	Bacteria	0.0897273820728513	0.0016034117560122
species	Acidovorax_sp._202149	Bacteria	0.0885342580402707	0.0016034117560122
species	Acidovorax_sp._CF316	Bacteria	0.0153704447000189	0.0073763932810957
species	Acidovorax_sp._GW101-3H11	Bacteria	0.0175110064334999	0.0012987372306736
species	Acidovorax_sp._JHL-3	Bacteria	0.0046449470321321	0.0032351738233459
species	Acidovorax_sp._JS42	Bacteria	0.5036909638501621	0.0084152134396087
