type	name	kingdom	P156N_rna	P160N_rna	P180N_rna	P193N_rna	P198N_rna	P207N_rna	P223N_rna	P229N_rna	P268N_rna	P270N_rna	P303N_rna	P326N_rna	P368N_rna	P394N_rna
genus	Abiotrophia	Bacteria	0.0219893013931539	0.0321989117327257	0.0281556365817934	0.0623180760749875	0.1404588617535808	0.0227049181210587	0.0170679702553631	0.0180062605293277	0.0170877785629326	0.0234943900291084	0.1640230640946555	0.0044550356603082	0.0	0.0
genus	Acaricomes	Bacteria	0.0009162208913814	0.0	0.0	0.0019783516214281	0.0	0.0	0.0	0.0	0.0	7.805445192394798e-05	0.0	0.0	0.0	0.0
genus	Acetivibrio	Bacteria	0.0	0.0032198911732725	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015063119290273
genus	Acetoanaerobium	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0188288991128414
genus	Acetobacter	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0067126828654595	0.0	0.0	0.0	0.0
genus	Acetobacterium	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0225946789354097
genus	Achromobacter	Bacteria	0.1054685872414862	1.0105689770403383	0.2279409924767547	0.1564855514559072	0.095813510414435	0.0398698700781271	0.010546086558692	0.2418787495812382	0.0469866614286269	0.4808427508718371	0.0518978774663098	0.0013352080560865	0.0	0.0040697606125906
genus	Acidimicrobium	Bacteria	0.0	0.0016099455866362	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
genus	Acidiphilium	Bacteria	0.0	0.0032198911732725	0.0	0.0	0.0031922468580359	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
genus	Acidisphaera	Bacteria	0.0	0.0	0.003110215668919	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
genus	Acidobacterium	Bacteria	0.0	0.0	0.006220431337838	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
genus	Acidothermus	Bacteria	0.0	0.0	0.0	0.0039564873179886	0.0048660384802621	0.0	0.0	0.0036391600227693	0.0	0.005255368395546	0.0	0.0	0.0	0.0058588263755342
genus	Acidovorax	Bacteria	0.4610829261378268	0.1977142755757065	0.1613600525061909	0.8876853932508215	0.0958860102919574	0.0450726110732449	0.1430364452887002	0.6874503862450274	0.0505590875169448	0.4046668865659429	0.0481529367068764	0.046212155619229	0.0237676345099097	0.7531863853773616
genus	Acinetobacter	Bacteria	3.6612186819601487	1.3555741839477609	1.349833600310869	2.151457388303148	1.2258227934858006	0.7350717241692757	0.3541603827987861	1.6205634476395048	0.1742953413419128	0.9666263326261754	0.5072565130334716	0.0712805705649317	0.0	1.2653020203829537
genus	Actibacterium	Bacteria	0.0	0.0002146594115515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
genus	Actinoalloteichus	Bacteria	0.0053539168609418	0.0	0.0	0.0134113327441061	0.0085606050788489	0.0018920765100882	0.0	0.009093324963504	0.0	0.0182769283672932	0.0	0.0	0.0	0.01123425190442
genus	Actinobacillus	Bacteria	0.5201342370806034	0.2783289262991927	1.1560153272093932	0.2448210131517366	0.3981795914256815	0.4753166489985923	2.8002341890327296	0.1756210610293765	0.2055659761120795	0.1048297307489265	0.6762516166592154	1.0603090943811222	0.0259579000988703	0.0075315596451365
