type	name	kingdom	P156T_rna	P160T_rna	P180T_rna	P193T_rna	P198T_rna	P207T_rna	P223T_rna	P229T_rna	P268T_rna	P270T_rna	P303T_rna	P326T_rna	P368T_rna	P394T_rna
species	Abiotrophia_defectiva	Bacteria	0.0	0.0474863220414145	0.0551200391964724	0.211901385661465	1.151225909869211	0.0	0.0216317554169521	0.4075129454300333	0.1210744303892148	0.0049701171705122	0.3110894229596193	0.0265275444336369	0.0	0.0
species	Acaricomes_phytoseiuli	Bacteria	0.0	0.0005249338320904	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000828352861752	0.0	0.0	0.0	0.0033495577537028
species	Acetivibrio_cellulolyticus	Bacteria	0.0	0.0008998865692979	0.001531112199902	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0021276822093852	0.0
species	Acetoanaerobium_sticklandii	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0095745699422334	0.0
species	Acetobacter_cerevisiae	Bacteria	0.0	0.0	0.0	0.0015567109810392	0.0	0.0	0.0014592850876515	0.0	0.0007012032648024	0.0266921917684209	0.0	0.0	0.0	0.0
species	Acetobacter_cibinongensis	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0002575208978208	0.0	0.0	0.0010650251079669	0.0	0.0	0.0	0.0
species	Acetobacter_ghanensis	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0002575208978208	0.0	0.0	0.0015309735927024	0.0	0.0	0.0	0.0
species	Acetobacter_indonesiensis	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0002575208978208	0.0	0.0007012032648024	0.0047926129858511	0.0	0.0	0.0	0.0
species	Acetobacter_malorum	Bacteria	0.0	0.0	0.0	0.0015567109810392	0.0	0.0	0.0014592850876515	0.0	0.0007012032648024	0.0266921917684209	0.0	0.0	0.0	0.0
species	Acetobacter_okinawensis	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0002575208978208	0.0	0.0007012032648024	0.0047926129858511	0.0	0.0	0.0	0.0
species	Acetobacter_orientalis	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0002575208978208	0.0	0.0	0.0010650251079669	0.0	0.0	0.0	0.0
species	Acetobacter_orleanensis	Bacteria	0.0	0.0	0.0	0.0015567109810392	0.0	0.0	0.0014592850876515	0.0	0.0007012032648024	0.0344579998473463	0.0	0.0	0.0	0.0
species	Acetobacter_pasteurianus	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0002575208978208	0.0	0.0	0.0015309735927024	0.0	0.0	0.0	0.0
