	tax_id	taxonomy	type	name	kingdom	score	score_normalized	reads	unambiguous	reference_length	new_score	new_score_normalized	flagstat
0	1703962	root|cellular_organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Rhizobium/Agrobacterium_group|Rhizobium|Rhizobium_sp._N1341	species	Rhizobium_sp._N1341	Bacteria	0.0512820512820512	0.00020900073573989705	2	0	6555560	8.947873269481295e-07	0.0002061341397300873	57312
1	1720346	root|cellular_organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Rhizobium/Agrobacterium_group|Rhizobium|Rhizobium_sp._RSm-3	species	Rhizobium_sp._RSm-3	Bacteria	0.0512820512820512	0.00020900073573989705	2	0	6912093	8.947873269481295e-07	0.0002061341397300873	57312
2	1	root	root	root	root	24877.999999998006	400.00000000000273	24878	24878	0	0.0	0.0	57312
3	2	root|cellular_organisms|Bacteria	superkingdom	Bacteria	Bacteria	24536.780265629237	99.99999999999991	24540	24441	0	0.0	0.0	57312
4	1703960	root|cellular_organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Rhizobium/Agrobacterium_group|Rhizobium|Rhizobium_sp._N113	species	Rhizobium_sp._N113	Bacteria	0.0512820512820512	0.00020900073573989705	2	0	6524337	8.947873269481295e-07	0.0002061341397300873	57312
5	1703961	root|cellular_organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Rhizobium/Agrobacterium_group|Rhizobium|Rhizobium_sp._N1314	species	Rhizobium_sp._N1314	Bacteria	0.0512820512820512	0.00020900073573989705	2	0	6274511	8.947873269481295e-07	0.0002061341397300873	57312
6	1703966	root|cellular_organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Rhizobium/Agrobacterium_group|Rhizobium|Rhizobium_sp._N731	species	Rhizobium_sp._N731	Bacteria	0.0512820512820512	0.00020900073573989705	2	0	6274507	8.947873269481295e-07	0.0002061341397300873	57312
7	1179670	root|cellular_organisms|Bacteria|Terrabacteria_group|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae|Micrococcus|Micrococcus_sp._KBS0714	species	Micrococcus_sp._KBS0714	Bacteria	0.2018849206349206	0.0008227848904760382	4	0	2486353	3.5225593354780954e-06	0.0008114998015713495	57312
8	1581085	root|cellular_organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas_sp._HMSC11A05	species	Pseudomonas_sp._HMSC11A05	Bacteria	0.0625	0.0002547196466829995	1	0	6322964	1.0905220547180346e-06	0.00025122598279604436	57312
9	1703967	root|cellular_organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Rhizobium/Agrobacterium_group|Rhizobium|Rhizobium_sp._N741	species	Rhizobium_sp._N741	Bacteria	0.0512820512820512	0.00020900073573989705	2	0	6556348	8.947873269481295e-07	0.0002061341397300873	57312
10	1703964	root|cellular_organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Rhizobium/Agrobacterium_group|Rhizobium|Rhizobium_sp._N621	species	Rhizobium_sp._N621	Bacteria	0.0512820512820512	0.00020900073573989705	2	0	6425255	8.947873269481295e-07	0.0002061341397300873	57312
11	1703965	root|cellular_organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Rhizobium/Agrobacterium_group|Rhizobium|Rhizobium_sp._N6212	species	Rhizobium_sp._N6212	Bacteria	0.0512820512820512	0.00020900073573989705	2	0	6424414	8.947873269481295e-07	0.0002061341397300873	57312
12	172042	root|cellular_organisms|Bacteria|Terrabacteria_group|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae|Rothia|Rothia_aeria	species	Rothia_aeria	Bacteria	0.4285714285714285	0.0017466490058262	3	0	0	7.477865518066521e-06	0.0017226924534585893	57312
13	1581073	root|cellular_organisms|Bacteria|Terrabacteria_group|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae|Micrococcus|Micrococcus_sp._HMSC31B01	species	Micrococcus_sp._HMSC31B01	Bacteria	0.2018849206349206	0.0008227848904760382	4	0	2380458	3.5225593354780954e-06	0.0008114998015713495	57312
14	172043	root|cellular_organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales|Caulobacteraceae|Brevundimonas|Brevundimonas_nasdae	species	Brevundimonas_nasdae	Bacteria	4.518650793650794	0.0184158261382813	40	0	3407832	7.884301356872547e-05	0.018163239784752747	57312
15	1179672	root|cellular_organisms|Bacteria|FCB_group|Bacteroidetes/Chlorobi_group|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|Flavobacterium_sp._KBS0721	species	Flavobacterium_sp._KBS0721	Bacteria	1.1979323308270675	0.0048821904009346	20	0	5859120	2.090194602922717e-05	0.004815227634162979	57312
16	237576	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Oribacterium|Oribacterium_sinus	species	Oribacterium_sinus	Bacteria	1.0	0.0040755143469279	2	0	0	1.7448352875488554e-05	0.00401961572473671	57312
17	1581075	root|cellular_organisms|Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Neisseria|Neisseria_sp._HMSC31F04	species	Neisseria_sp._HMSC31F04	Bacteria	2.217857142857143	0.009038908605151	17	0	2257660	3.869795405599426e-05	0.008914933446648203	57312
18	1581076	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus_sp._HMSC10A01	species	Streptococcus_sp._HMSC10A01	Bacteria	7.405351204748261	0.030180615078992	131	0	2170492	0.00012921118098737193	0.029766666149804045	57312
19	999425	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus_sp._F0442	species	Streptococcus_sp._F0442	Bacteria	4.392639924233475	0.0179022670321022	105	0	2231248	7.664433145298497e-05	0.017656724512555143	57312
20	172044	root|cellular_organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingomonas|Sphingomonas_yabuuchiae	species	Sphingomonas_yabuuchiae	Bacteria	49.02324315996043	0.1997949308313583	413	0	3909164	0.0008553748457558702	0.1970545990833683	57312
21	999424	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus_sp._F0441	species	Streptococcus_sp._F0441	Bacteria	9.124476805697986	0.0371869361298338	395	0	2000650	0.00015920709111002908	0.03667689044817901	57312
22	16	root|cellular_organisms|Bacteria|Proteobacteria|Betaproteobacteria|Methylophilales|Methylophilaceae|Methylophilus	genus	Methylophilus	Bacteria	42.70324675324675	0.1740376948032634	66	0	0	0.0007451013182797102	0.17432207322042084	57312
23	65555	root|cellular_organisms|Bacteria|Proteobacteria|delta/epsilon_subdivisions|Deltaproteobacteria|Desulfobacterales|Desulfobulbaceae|Desulfocapsa|Desulfocapsa_sulfexigens	species	Desulfocapsa_sulfexigens	Bacteria	13.0	0.0529816865100639	18	8	0	0.0002268285873813512	0.05225500442157722	57312
24	20	root|cellular_organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales|Caulobacteraceae|Phenylobacterium	genus	Phenylobacterium	Bacteria	1.5	0.0061132715203919	3	0	0	2.617252931323283e-05	0.0061232606349949405	57312
