	tax_id	taxonomy	type	name	kingdom	score	score_normalized	reads	unambiguous	reference_length	new_score	new_score_normalized	flagstat
0	1703962	root|cellular_organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Rhizobium/Agrobacterium_group|Rhizobium|Rhizobium_sp._N1341	species	Rhizobium_sp._N1341	Bacteria	0.0188679245283018	6.546083476107918e-05	1	0	6555560	3.1853200068038285e-07	6.528919522579295e-05	59234
1	1720346	root|cellular_organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Rhizobium/Agrobacterium_group|Rhizobium|Rhizobium_sp._RSm-3	species	Rhizobium_sp._RSm-3	Bacteria	0.0188679245283018	6.546083476107918e-05	1	0	6912093	3.1853200068038285e-07	6.528919522579295e-05	59234
2	1581081	root|cellular_organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Stenotrophomonas|Stenotrophomonas_sp._HMSC10F06	species	Stenotrophomonas_sp._HMSC10F06	Bacteria	0.0666666666666666	0.00023129494948914643	2	0	4114905	1.125479735737357e-06	0.00023068848979780263	59234
3	1	root	root	root	root	28898.999999998585	399.9999999999994	28899	28899	0	0.0	0.0	59234
4	2	root|cellular_organisms|Bacteria	superkingdom	Bacteria	Bacteria	28823.22628051644	99.99999999999926	28827	28728	0	0.0	0.0	59234
5	1703960	root|cellular_organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Rhizobium/Agrobacterium_group|Rhizobium|Rhizobium_sp._N113	species	Rhizobium_sp._N113	Bacteria	0.0188679245283018	6.546083476107918e-05	1	0	6524337	3.1853200068038285e-07	6.528919522579295e-05	59234
6	1703961	root|cellular_organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Rhizobium/Agrobacterium_group|Rhizobium|Rhizobium_sp._N1314	species	Rhizobium_sp._N1314	Bacteria	0.0188679245283018	6.546083476107918e-05	1	0	6274511	3.1853200068038285e-07	6.528919522579295e-05	59234
7	1703966	root|cellular_organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Rhizobium/Agrobacterium_group|Rhizobium|Rhizobium_sp._N731	species	Rhizobium_sp._N731	Bacteria	0.0188679245283018	6.546083476107918e-05	1	0	6274507	3.1853200068038285e-07	6.528919522579295e-05	59234
8	1179670	root|cellular_organisms|Bacteria|Terrabacteria_group|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae|Micrococcus|Micrococcus_sp._KBS0714	species	Micrococcus_sp._KBS0714	Bacteria	0.1428571428571428	0.0004956320346195994	2	0	2486353	2.4117422908657664e-06	0.0004943324781381489	59234
9	1703967	root|cellular_organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Rhizobium/Agrobacterium_group|Rhizobium|Rhizobium_sp._N741	species	Rhizobium_sp._N741	Bacteria	0.0188679245283018	6.546083476107918e-05	1	0	6556348	3.1853200068038285e-07	6.528919522579295e-05	59234
