	tax_id	taxonomy	type	name	kingdom	score	score_normalized	reads	unambiguous	reference_length	new_score	new_score_normalized	flagstat
0	1581081	root|cellular_organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Stenotrophomonas|Stenotrophomonas_sp._HMSC10F06	species	Stenotrophomonas_sp._HMSC10F06	Bacteria	0.25	0.0007709186738176417	2	0	4114905	3.6615015085386215e-06	0.0007704872561407827	68278
1	1	root	root	root	root	32447.000000009983	400.0000000000011	32447	32447	0	0.0	0.0	68278
2	2	root|cellular_organisms|Bacteria	superkingdom	Bacteria	Bacteria	32428.842171127904	99.99999999999908	32429	32424	0	0.0	0.0	68278
3	1179670	root|cellular_organisms|Bacteria|Terrabacteria_group|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae|Micrococcus|Micrococcus_sp._KBS0714	species	Micrococcus_sp._KBS0714	Bacteria	0.2222222222222222	0.0006852610433934592	2	0	2486353	3.2546680075898856e-06	0.0006848775610140289	68278
4	1581086	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus_sp._HMSC11C05	species	Streptococcus_sp._HMSC11C05	Bacteria	0.0606060606060606	0.00018688937547094343	2	0	2057851	8.87636729342696e-07	0.0001867847893674624	68278
5	172043	root|cellular_organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales|Caulobacteraceae|Brevundimonas|Brevundimonas_nasdae	species	Brevundimonas_nasdae	Bacteria	0.2857142857142857	0.0008810499129344476	2	0	3407832	4.184573152615567e-06	0.0008805568641608944	68278
6	1179672	root|cellular_organisms|Bacteria|FCB_group|Bacteroidetes/Chlorobi_group|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|Flavobacterium_sp._KBS0721	species	Flavobacterium_sp._KBS0721	Bacteria	0.8128962111160254	0.0025067074760998	13	0	5859120	1.1905682813146626e-05	0.002505304684920099	68278
7	237576	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Oribacterium|Oribacterium_sinus	species	Oribacterium_sinus	Bacteria	25.5	0.0786337047293994	76	0	0	0.0003734731538709394	0.07858970012635982	68278
8	1581075	root|cellular_organisms|Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Neisseria|Neisseria_sp._HMSC31F04	species	Neisseria_sp._HMSC31F04	Bacteria	11.220488721804514	0.0346003371399973	65	0	2257660	0.00016433534552571128	0.03458097427128703	68278
9	712710	root|cellular_organisms|Bacteria|FCB_group|Bacteroidetes/Chlorobi_group|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Tannerella|Tannerella_sp._oral_taxon_HOT-286	species	Tannerella_sp._oral_taxon_HOT-286	Bacteria	44.0	0.1356816865919049	44	44	2973531	0.0006444242655027974	0.13560575708077774	68278
10	1581076	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus_sp._HMSC10A01	species	Streptococcus_sp._HMSC10A01	Bacteria	8.540999188679944	0.0263376630704587	367	0	2170492	0.00012509152565511503	0.02632292411834664	68278
11	999425	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus_sp._F0442	species	Streptococcus_sp._F0442	Bacteria	4.091012420629032	0.0126153514795313	139	0	2231248	5.9916992598333754e-05	0.012608291739233297	68278
12	172044	root|cellular_organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingomonas|Sphingomonas_yabuuchiae	species	Sphingomonas_yabuuchiae	Bacteria	26.04558570198105	0.0803161135526998	227	0	3909164	0.00038146380535430225	0.08027116744839591	68278
13	999424	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus_sp._F0441	species	Streptococcus_sp._F0441	Bacteria	180.844724868906	0.557666301851413	7906	0	2000650	0.0026486529316750054	0.5573542234071126	68278
14	1581079	root|cellular_organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Morganellaceae|Proteus|Proteus_sp._HMSC10D02	species	Proteus_sp._HMSC10D02	Bacteria	3.5	0.0107928614334469	14	0	5944249	5.12610211195407e-05	0.010786821585970958	68278
15	16	root|cellular_organisms|Bacteria|Proteobacteria|Betaproteobacteria|Methylophilales|Methylophilaceae|Methylophilus	genus	Methylophilus	Bacteria	3.0666666666666664	0.0094566023988297	5	0	0	4.491441850474042e-05	0.009789557031310183	68278
16	18	root|cellular_organisms|Bacteria|Proteobacteria|delta/epsilon_subdivisions|Deltaproteobacteria|Desulfuromonadales|Desulfuromonadaceae|Pelobacter	genus	Pelobacter	Bacteria	1.6666666666666663	0.0051394578254509	4	0	0	2.4410010056924137e-05	0.005320411430059881	68278
17	19	root|cellular_organisms|Bacteria|Proteobacteria|delta/epsilon_subdivisions|Deltaproteobacteria|Desulfuromonadales|Desulfuromonadaceae|Pelobacter|Pelobacter_carbinolicus	species	Pelobacter_carbinolicus	Bacteria	1.1666666666666663	0.0035976204778156	4	0	0	1.7087007039846896e-05	0.003595607195323651	68278
18	20	root|cellular_organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales|Caulobacteraceae|Phenylobacterium	genus	Phenylobacterium	Bacteria	1.8888888888888888	0.0058247188688444	3	1	0	2.766467806451403e-05	0.006029799620734533	68278
19	196635	root|cellular_organisms|Eukaryota|Stramenopiles|Bacillariophyta|Bacillariophyceae|Eunotiophycidae|Eunotiales	order	Eunotiales	Eukaryota	0.7	5.384615384615385	2	0	0	0.0	0.0	68278
20	1703938	root|cellular_organisms|Bacteria|Terrabacteria_group|Actinobacteria|Actinobacteria|Streptomycetales|Streptomycetaceae|Streptomyces|Streptomyces_sp._CB02009	species	Streptomyces_sp._CB02009	Bacteria	0.3216783216783216	0.000991951300576546	5	0	9201655	4.7113026403573864e-06	0.0009913961897196082	68278
21	196634	root|cellular_organisms|Eukaryota|Stramenopiles|Bacillariophyta|Bacillariophyceae|Eunotiophycidae	no_rank	Eunotiophycidae	Eukaryota	0.7	5.384615384615385	2	0	0	0.0	0.0	68278
22	81947	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Vagococcus|Vagococcus_lutrae	species	Vagococcus_lutrae	Bacteria	100.3742257742258	0.3095214600773548	462	0	0	0.0014700815163628958	0.3093482472161546	68278
23	1089548	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Bacilli|Bacillales|Bacillales_incertae_sedis|Bacillales_Family_X._Incertae_Sedis|Thermicanus|Thermicanus_aegyptius|Thermicanus_aegyptius_DSM_12793	no_rank	Thermicanus_aegyptius_DSM_12793	Bacteria	18.0	0.0555061445148702	18	18	3657623	0.0	0.0	68278
24	196637	root|cellular_organisms|Eukaryota|Stramenopiles|Bacillariophyta|Bacillariophyceae|Eunotiophycidae|Eunotiales|Eunotiaceae|Eunotia	genus	Eunotia	Eukaryota	0.7	5.384615384615385	2	0	0	1.025220422390814e-05	0.00223457280062515	68278
25	1703940	root|cellular_organisms|Bacteria|Terrabacteria_group|Actinobacteria|Actinobacteria|Streptomycetales|Streptomycetaceae|Streptomyces|Streptomyces_sp._CB02261	species	Streptomyces_sp._CB02261	Bacteria	0.3216783216783216	0.000991951300576546	5	0	7705652	4.7113026403573864e-06	0.0009913961897196082	68278
26	196636	root|cellular_organisms|Eukaryota|Stramenopiles|Bacillariophyta|Bacillariophyceae|Eunotiophycidae|Eunotiales|Eunotiaceae	family	Eunotiaceae	Eukaryota	0.7	5.384615384615385	2	0	0	0.0	0.0	68278
27	1581115	root|cellular_organisms|Bacteria|Terrabacteria_group|Actinobacteria|Actinobacteria|Corynebacteriales|Corynebacteriaceae|Corynebacterium|Corynebacterium_sp._HMSC05D03	species	Corynebacterium_sp._HMSC05D03	Bacteria	1.5707070707070707	0.0048435496476219	14	0	2642799	2.3004585235464875e-05	0.004840839124440069	68278
28	1892404	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus_sp._ABP14	species	Bacillus_sp._ABP14	Bacteria	0.1176470588235294	0.0003627852582671255	2	0	5152566	1.7230595334299392e-06	0.00036258223818389765	68278
29	1581105	root|cellular_organisms|Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Alcaligenaceae|Achromobacter|Achromobacter_sp._HMSC15D03	species	Achromobacter_sp._HMSC15D03	Bacteria	1.261904761904762	0.0038913037821271	16	0	6633798	1.8481864757385425e-05	0.0038891261500439505	68278
30	237609	root|cellular_organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas_alkylphenolica	species	Pseudomonas_alkylphenolica	Bacteria	1.0839285714285714	0.003342483107195	10	0	5764622	1.5875224397735307e-05	0.0033406126034103926	68278
31	1581107	root|cellular_organisms|Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Neisseria|Neisseria_sp._HMSC15G01	species	Neisseria_sp._HMSC15G01	Bacteria	36.69111479432659	0.1131434622325324	1450	0	2178870	0.0005373782886775621	0.11308014545050867	68278
32	1056807	root|cellular_organisms|Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Morococcus|Morococcus_cerebrosus	species	Morococcus_cerebrosus	Bacteria	83.19765464286715	0.2565545023280692	2070	0	2451909	0.0012185133519269332	0.2564109305725246	68278
33	180282	root|cellular_organisms|Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae|Delftia|Delftia_tsuruhatensis	species	Delftia_tsuruhatensis	Bacteria	0.2824175824175824	0.0008708839524005885	8	0	6732149	4.1362896162392336e-06	0.0008703965926513455	68278
34	1843236	root|cellular_organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingomonas|Sphingomonas_sp._W16RD	species	Sphingomonas_sp._W16RD	Bacteria	0.1818181818181818	0.0005606681264128304	2	0	3722743	2.662910188028088e-06	0.0005603543681023873	68278
35	172088	root|cellular_organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Bradyrhizobiaceae|Bradyrhizobium|Bradyrhizobium_sp._th.b2	species	Bradyrhizobium_sp._th.b2	Bacteria	9.002645519640762	0.0277612301794071	536	0	10118060	0.00013185280060401246	0.027745694577744485	68278
36	335929	root|cellular_organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Erythrobacteraceae	family	Erythrobacteraceae	Bacteria	8.0	0.0246693975621645	8	8	0	0.0	0.0	68278
37	1581093	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|Staphylococcus_sp._HMSC13A10	species	Staphylococcus_sp._HMSC13A10	Bacteria	3.5	0.0107928614334469	14	0	2569697	5.12610211195407e-05	0.010786821585970958	68278
38	1679449	root|cellular_organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Pseudooceanicola	genus	Pseudooceanicola	Bacteria	67.2950813075813	0.2075161393443638	258	0	0	0.0009856041668997524	0.21482251186539877	68278
39	925775	root|cellular_organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Xanthomonas|Xanthomonas_vesicatoria|Xanthomonas_vesicatoria_ATCC_35937	no_rank	Xanthomonas_vesicatoria_ATCC_35937	Bacteria	0.1818181818181818	0.0005606681264128304	4	0	5531089	0.0	0.0	68278
40	1417296	root|cellular_organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Defluviimonas|Defluviimonas_sp._20V17	species	Defluviimonas_sp._20V17	Bacteria	0.2222222222222222	0.0006852610433934592	2	0	4260257	3.2546680075898856e-06	0.0006848775610140289	68278
41	860235	root|cellular_organisms|Bacteria|Terrabacteria_group|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Kibdelosporangium|Kibdelosporangium_phytohabitans	species	Kibdelosporangium_phytohabitans	Bacteria	0.2072463768115942	0.0006390804078604217	5	0	11759770	3.035331685339263e-06	0.0006387227688587358	68278
42	1515613	root|cellular_organisms|Bacteria|FCB_group|Bacteroidetes/Chlorobi_group|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Porphyromonas|Porphyromonas_sp._COT-239_OH1446	species	Porphyromonas_sp._COT-239_OH1446	Bacteria	2.0	0.0061673493905411	2	2	1961776	2.929201206830897e-05	0.006163898049126261	68278
43	75	root|cellular_organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales|Caulobacteraceae|Caulobacter	genus	Caulobacter	Bacteria	1.1111111111111112	0.0034263052169672	2	0	0	1.627334003794943e-05	0.003546940953373254	68278
44	1581141	root|cellular_organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas_sp._HMSC08G10	species	Pseudomonas_sp._HMSC08G10	Bacteria	0.5810396466313318	0.0017917372552659	18	0	5191709	8.509910170645475e-06	0.0017907345721679389	68278
45	147538	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Dikarya|Ascomycota|saccharomyceta|Pezizomycotina	subphylum	Pezizomycotina	Fungi	0.1578288820813737	100.0	5	0	0	0.0	0.0	68278
46	88	root|cellular_organisms|Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|unclassified_Burkholderiales|Burkholderiales_Genera_incertae_sedis|Leptothrix	genus	Leptothrix	Bacteria	1.3612134597428711	0.0041975395006707	19	0	0	1.9936340545166394e-05	0.004345329389980397	68278
47	1867845	root|cellular_organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Brucellaceae|Brucella|Brucella_sp._B13-0095	species	Brucella_sp._B13-0095	Bacteria	0.0625	0.0001927296684544104	3	0	3153099	9.153753771346554e-07	0.00019262181403519567	68278
48	1581123	root|cellular_organisms|Bacteria|Terrabacteria_group|Actinobacteria|Actinobacteria|Corynebacteriales|Corynebacteriaceae|Corynebacterium|Corynebacterium_sp._HMSC06D04	species	Corynebacterium_sp._HMSC06D04	Bacteria	0.0625	0.0001927296684544104	1	0	2672576	9.153753771346554e-07	0.00019262181403519567	68278
49	147550	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Dikarya|Ascomycota|saccharomyceta|Pezizomycotina|leotiomyceta|sordariomyceta|Sordariomycetes	class	Sordariomycetes	Fungi	0.1578288820813737	100.0	5	0	0	0.0	0.0	68278
50	1916993	root|cellular_organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas_sp._DRA525	species	Pseudomonas_sp._DRA525	Bacteria	1.8298977527845357	0.0056428093951941	30	0	6267580	2.6800693529168045e-05	0.005639651594244565	68278
51	106589	root|cellular_organisms|Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Cupriavidus	genus	Cupriavidus	Bacteria	307.0	0.946688131448064	307	307	0	0.004496323852485427	0.9800197854170303	68278
