	tax_id	taxonomy	type	name	kingdom	score	score_normalized	reads	unambiguous	reference_length	new_score	new_score_normalized	flagstat
0	1	root	root	root	root	27449.00000000257	300.0000000000003	27449	27449	0	0.0	0.0	60522
1	2	root|cellular_organisms|Bacteria	superkingdom	Bacteria	Bacteria	27417.110349492887	99.9999999999995	27418	27395	0	0.0	0.0	60522
2	36866	root|cellular_organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|unclassified_Enterobacteriaceae|unclassified_Enterobacteriaceae_(miscellaneous)	no_rank	unclassified_Enterobacteriaceae_(miscellaneous)	Bacteria	0.0606060606060606	0.0002210519629293727	2	0	0	0.0	0.0	60522
3	143361	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Filifactor|Filifactor_alocis	species	Filifactor_alocis	Bacteria	7.0	0.0255315017183425	7	7	0	0.00011566042100393245	0.02550183977558379	60522
4	1179670	root|cellular_organisms|Bacteria|Terrabacteria_group|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae|Micrococcus|Micrococcus_sp._KBS0714	species	Micrococcus_sp._KBS0714	Bacteria	0.2909090909090909	0.0010610494220609	3	0	2486353	4.806666846916673e-06	0.001059816717946339	60522
5	1581085	root|cellular_organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas_sp._HMSC11A05	species	Pseudomonas_sp._HMSC11A05	Bacteria	0.0294117647058823	0.00010727521730396029	1	0	6322964	4.859681554787069e-07	0.00010715058729236866	60522
6	446465	root|cellular_organisms|Bacteria|Terrabacteria_group|Actinobacteria|Actinobacteria|Micrococcales|Dermabacteraceae|Brachybacterium|Brachybacterium_faecium|Brachybacterium_faecium_DSM_4810	no_rank	Brachybacterium_faecium_DSM_4810	Bacteria	1.4	0.0051063003436685	7	0	3614992	0.0	0.0	60522
7	1581073	root|cellular_organisms|Bacteria|Terrabacteria_group|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae|Micrococcus|Micrococcus_sp._HMSC31B01	species	Micrococcus_sp._HMSC31B01	Bacteria	0.2909090909090909	0.0010610494220609	3	0	2380458	4.806666846916673e-06	0.001059816717946339	60522
8	172043	root|cellular_organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales|Caulobacteraceae|Brevundimonas|Brevundimonas_nasdae	species	Brevundimonas_nasdae	Bacteria	0.2	0.00072947147766693	2	0	3407832	3.3045834572552133e-06	0.0007286239935881083	60522
9	36873	root|cellular_organisms|Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Paraburkholderia|Paraburkholderia_xenovorans	species	Paraburkholderia_xenovorans	Bacteria	0.8185235816814764	0.002985448033172	12	0	0	1.3524397436989465e-05	0.002981979604653997	60522
