name	type	kingdom	P156N_rna	P160N_rna	P180N_rna	P193N_rna	P198N_rna	P207N_rna	P229N_rna	P268N_rna	P270N_rna	P303N_rna	P326N_rna	P368N_rna	P394N_rna
Acetoanaerobium	genus	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0188288991128414
Acetobacter	genus	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0067126828654595	0.0	0.0	0.0	0.0
Acetobacterium	genus	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0225946789354097
Achromobacter	genus	Bacteria	0.1054685872414862	1.0105689770403383	0.2279409924767547	0.1564855514559072	0.095813510414435	0.0398698700781271	0.2418787495812382	0.0469866614286269	0.4808427508718371	0.0518978774663098	0.0013352080560865	0.0	0.0040697606125906
Acidimicrobium	genus	Bacteria	0.0	0.0016099455866362	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acidiphilium	genus	Bacteria	0.0	0.0032198911732725	0.0	0.0	0.0031922468580359	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acidisphaera	genus	Bacteria	0.0	0.0	0.003110215668919	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acidobacterium	genus	Bacteria	0.0	0.0	0.006220431337838	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acidothermus	genus	Bacteria	0.0	0.0	0.0	0.0039564873179886	0.0048660384802621	0.0	0.0036391600227693	0.0	0.005255368395546	0.0	0.0	0.0	0.0058588263755342
Acidovorax	genus	Bacteria	0.4610829261378268	0.1977142755757065	0.1613600525061909	0.8876853932508215	0.0958860102919574	0.0450726110732449	0.6874503862450274	0.0505590875169448	0.4046668865659429	0.0481529367068764	0.046212155619229	0.0237676345099097	0.7531863853773616
Acinetobacter	genus	Bacteria	3.6612186819601487	1.3555741839477609	1.349833600310869	2.151457388303148	1.2258227934858006	0.7350717241692757	1.6205634476395048	0.1742953413419128	0.9666263326261754	0.5072565130334716	0.0712805705649317	0.0	1.2653020203829537
Actibacterium	genus	Bacteria	0.0	0.0002146594115515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinoalloteichus	genus	Bacteria	0.0053539168609418	0.0	0.0	0.0134113327441061	0.0085606050788489	0.0018920765100882	0.009093324963504	0.0	0.0182769283672932	0.0	0.0	0.0	0.01123425190442
Actinobacillus	genus	Bacteria	0.5201342370806034	0.2783289262991927	1.1560153272093932	0.2448210131517366	0.3981795914256815	0.4753166489985923	0.1756210610293765	0.2055659761120795	0.1048297307489265	0.6762516166592154	1.0603090943811222	0.0259579000988703	0.0075315596451365
Actinobaculum	genus	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006074928299802	0.0	0.0	0.0
Actinokineospora	genus	Bacteria	0.000637371054874	0.0005366485288787	0.0	0.0049221017350321	0.0095069233173971	0.0	0.0075266822597364	0.0	0.0089796058532362	0.0	0.0	0.0	0.0049571813553149
Actinomadura	genus	Bacteria	0.0	0.0	0.003110215668919	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinomyces	genus	Bacteria	0.0513083699173591	0.0579580411189064	0.3514543705878516	0.2997202706463686	0.4277610789768142	0.0624385248329114	0.0324112689527899	0.1025266713775957	0.0805521943855145	0.1974351697435668	0.0801906418855482	1.522863472467059	0.4669566979984682
Actinoplanes	genus	Bacteria	0.0052753836416805	0.0003219891173272	0.0	0.0009112366322171	0.0002128164572023	0.0	0.0016374165978886	0.0045160557630607	0.0182536185603407	0.0	0.0	0.0	0.0002689842730405
Actinosynnema	genus	Bacteria	0.0014659534262102	0.0	0.0	0.0080452945364966	0.0004256329144047	0.0	0.0010244941335651	0.0	0.0009597117938612	0.0	0.0	0.0	0.0039002719590885
Actinotalea	genus	Bacteria	0.0003857772174237	0.0	0.0	0.0	0.0	0.0	0.0	0.0006835111425173	0.0	0.0	0.0	0.0	0.0
Adhaeribacter	genus	Bacteria	0.0036648835655256	0.0	0.006220431337838	0.0	0.0	0.0056762295302646	0.0	0.0102526671377595	0.0100690242981893	0.0	0.0	0.0	0.0
Aeribacillus	genus	Bacteria	0.0	0.0	0.0	0.0	0.0031922468580359	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aerococcus	genus	Bacteria	0.0	0.1030365175447225	0.0497634507027046	0.3086228529427953	0.1085363931732215	0.0056762295302646	0.007202504211731	0.0102526671377595	0.0839085358182443	0.0303746414990102	0.0	0.0	0.0075315596451365
Aeromicrobium	genus	Bacteria	0.0879572055726157	0.0193193470396354	0.0981131670104461	0.0086058295532125	0.0063844937160718	0.0851434429539701	0.0432150252703865	0.071768669964317	0.0033563414327297	0.003037464149901	0.0	0.0	0.0
Aeromonas	genus	Bacteria	0.0	0.0	0.0	0.0296752743214226	0.0	0.0	0.0	0.0	0.0	0.0	0.0089100713206164	0.1038316003954814	0.0376577982256829
Aestuariivita	genus	Bacteria	0.0258095386391026	0.0192476512019407	0.0065029017087521	0.0498459305776355	0.0043245749809729	0.0069185410564109	0.0226626540269377	0.0024987086841651	0.0653918735131606	0.0070637123466894	0.001072067404887	0.025381057874451	0.0228758170414831
Afipia	genus	Bacteria	0.8789821633178797	0.5643548470523054	0.4289523814399573	1.7426217224001863	0.2914109392779553	0.1364287943717014	1.82425486030674	0.1848102647784985	4.169583398210793	0.1463141831189078	0.1567720880467815	2.3287969742498507	2.443534059198892
Aggregatibacter	genus	Bacteria	0.0038219500040481	0.0188440297711999	0.0144254764834626	0.0029675274321422	0.0	0.0034766905872871	0.0014405008423462	0.0045567409501153	0.0	0.0057711818848119	0.0068310546791392	0.0	0.0
Agreia	genus	Bacteria	0.003146617202724	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Agrobacterium	genus	Bacteria	0.1826909421170808	0.0388109648690941	0.0208417362152696	0.0311356121779581	0.020840965924788	0.0081842810451212	0.1402636522982447	0.0146096808059705	0.0671652211967775	0.2919478464882311	0.0	0.0	0.0361341092446027
Agrococcus	genus	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0001000347807184	0.0	0.0	0.0001898415093688	0.0	0.0	0.0
Agromyces	genus	Bacteria	0.0334297390965316	0.0067081066109845	0.0071090643861006	0.0072714028190426	0.0015961234290179	0.0178670476948575	0.0053204588729879	0.0043568838908997	0.0066373597880426	0.0133899058701177	0.0	0.0	0.003371269555442
Ahrensia	genus	Bacteria	0.0	0.0275837343843684	0.0	0.0002472939526785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alcanivorax	genus	Bacteria	0.0	0.0	0.0	0.0011128227870533	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Algibacter	genus	Bacteria	0.0036648835655256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alicycliphilus	genus	Bacteria	0.0430133825359001	0.0112148567999136	0.016565128648832	0.0393404730113581	0.0161603555158288	0.0036640789339593	0.0860792177857528	0.0055923455377235	0.0810817564878578	0.0099013441769501	0.0022275178301541	0.0	0.0408379491236632
Aliihoeflea	genus	Bacteria	0.0001018023212646	0.0	0.0003887769586148	0.0	0.0	0.0	0.0003790791690384	0.0004556740950115	0.0	0.0	0.0	0.0	0.0
Aliiroseovarius	genus	Bacteria	0.0002155813862073	0.0	0.0	0.0	0.0	0.0	0.0006002086843109	0.0	0.005797147507976	0.0	0.0	0.0	0.0
