category	subcategory	value
N	Prevotella	13.481002726423485
N	Veillonella	4.939090479680621
N	Fusobacterium	2.981522952977345
N	Neisseria	2.3007625376541734
N	Haemophilus	2.79149101160049
N	Sphingomonas	2.7095663010564945
N	Gemella	2.165392314628955
N	Porphyromonas	1.7273889189896467
N	Moraxella	1.748288934007566
N	Phyllobacterium	1.8022274982259137
N	Kocuria	1.3122309637142668
N	Acinetobacter	1.1603309690589194
N	Sphingobacterium	0.9577046843878787
N	Cupriavidus	2.037085120662367
N	Celeribacter	1.5943219114970626
N	Afipia	1.1766782058284961
N	Brevundimonas	0.6982188818682828
N	Thioclava	1.3853151730435322
N	Flavobacterium	0.9613894753836874
N	Gordonia	0.6334102626567897
N	Pseudomonas	1.2328326241068959
N	Chryseobacterium	0.9133471300734199
N	Leisingera	1.2630902661103143
N	Methylobacterium	0.7153453816513923
N	Stenotrophomonas	0.7282474974809442
N	Burkholderia	0.8357750061884347
N	Actinobacillus	0.40991251406460977
N	Capnocytophaga	0.6053383843800512
N	Jannaschia	0.8398670419687451
N	Ureaplasma	0.04431206066691648
N	Sphingobium	0.5007032638440638
N	Mycobacterium	0.6112428142945785
N	Granulicatella	0.395911211615713
N	Campylobacter	0.40334522453358523
N	Paraprevotella	0.5303176277880604
N	Other	41.40699262788631
T	Prevotella	11.920062516234777
T	Veillonella	5.683683288872323
T	Fusobacterium	5.981774350190076
T	Neisseria	4.222808419045948
T	Haemophilus	2.3112059473527933
T	Sphingomonas	1.5019021090937898
T	Gemella	1.9380184759895485
T	Porphyromonas	1.8435875408095506
T	Moraxella	1.7043978931508414
T	Phyllobacterium	1.1184844596597217
T	Kocuria	1.457022835444429
T	Acinetobacter	1.6004632711606155
T	Sphingobacterium	1.7314890641781033
T	Cupriavidus	0.6023547230718048
T	Celeribacter	0.9510253994784512
T	Afipia	1.199317816449836
T	Brevundimonas	1.5567892111682027
T	Thioclava	0.8469159628580819
T	Flavobacterium	1.1583514433521143
T	Gordonia	1.3560462178675503
T	Pseudomonas	0.7565323795855794
T	Chryseobacterium	1.0548861550606967
T	Leisingera	0.6860948022959472
T	Methylobacterium	1.1595001154764226
T	Stenotrophomonas	1.0878984259709847
T	Burkholderia	0.9212814741780643
T	Actinobacillus	1.0504181928340335
T	Capnocytophaga	0.7993474354498434
T	Jannaschia	0.4443105082150645
T	Ureaplasma	1.1660211524330522
T	Sphingobium	0.6900766332395057
T	Mycobacterium	0.46313696189805503
T	Granulicatella	0.668896545606211
T	Campylobacter	0.64115301995831
T	Paraprevotella	0.4828198300762583
T	Other	37.24192542229342
