name	type	kingdom	P156T_rna	P160T_rna	P180T_rna	P193T_rna	P198T_rna	P223T_rna	P229T_rna	P268T_rna	P270T_rna	P303T_rna	P368T_rna
Acetoanaerobium	genus	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0100955059382066
Acetobacter	genus	Bacteria	0.0	0.0	0.0	0.0063470318794541	0.0	0.0110574745290656	0.0	0.0061909561354801	0.2051968581179437	0.0	0.0
Acetobacterium	genus	Bacteria	0.0	0.0	0.0	0.0126940637589083	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Achromobacter	genus	Bacteria	0.0	0.190815745119316	3.0922584367347685	0.2189710709940858	0.0663587774074456	0.0425642151901275	0.0335533168805833	0.3036145640411835	1.0677833846356877	0.04175751662989	0.0458036702014787
Acidaminococcus	genus	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acidothermus	genus	Bacteria	0.0	0.0004645622496194	0.0020726202392378	0.0	0.0015935784179515	0.0	0.0072966593656772	0.0	0.0005519915481535	0.0	0.0002926233605277
Acidovorax	genus	Bacteria	0.2324308583605919	0.621721189768353	0.295661923668083	0.4765014642962843	0.0927610753721757	0.1667666922096024	0.2762266660226861	0.1567683051407836	0.2859928873058731	0.0169828872772713	0.8286711258811654
Acinetobacter	genus	Bacteria	0.0095951805254324	2.773901192477493	1.8173041312487856	2.7271080308721505	1.4860118747398192	0.534444602238174	1.1758045377834243	0.6314775258189714	4.563730122215784	0.2569771601493796	1.6287416246973552
Actibacterium	genus	Bacteria	0.0	0.0007708292141833	0.0	0.0	0.0	0.0	0.0001954462330092	0.0	0.0	0.0	0.0
Actinoalloteichus	genus	Bacteria	0.0	0.0	0.0014083188805077	0.0019834474623294	0.0046953649814643	0.0006354870419003	0.0005211899546912	0.0011608042754025	0.0	0.0015341920008918	0.0014631168026386
Actinobacillus	genus	Bacteria	0.5917027990683347	0.257797206370049	1.250162308266363	0.9596712201734688	0.9430616851306608	5.61769289196448	0.2503014757404641	0.301764890489402	0.1866042856561988	1.1085633057872597	0.0872780525276867
Actinokineospora	genus	Bacteria	0.0	0.0	0.0021670986547016	0.0007933789849317	0.0031302433209762	0.0002541948167601	0.0002084759818764	0.0003869347584675	0.0	0.0015341920008918	0.0005852467210554
Actinomadura	genus	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00103182602258	0.0	0.0	0.0
Actinomyces	genus	Bacteria	0.4317831236444603	0.061786779199381	0.1192908093250232	1.8755479203787089	1.4780439826500535	0.132689694348788	0.5628851510665301	0.3188342409772255	0.0911986036079749	0.2761545601605272	0.2624831543933734
Actinoplanes	genus	Bacteria	0.0	0.0009291244992388	0.0046127610124975	0.0	0.0003983946044878	0.009363638420769	0.0005211899546912	0.0045025135530764	0.0	0.0	0.0
Actinosynnema	genus	Bacteria	0.0	0.0	0.000841743632773	0.0	0.0005691351492684	0.00012709740838	0.0001042379909382	0.0003869347584675	0.0	0.0	0.0
Actinotalea	genus	Bacteria	0.0	0.0	0.0002080048985615	0.000126940637589	0.0	0.0	0.0021716248112134	0.0	0.0037630538570734	0.0	0.0
Adhaeribacter	genus	Bacteria	0.0	0.0065038714946716	0.0064481518554066	0.0	0.0	0.0036858248430218	0.0	0.0061909561354801	0.0	0.0	0.0
Advenella	genus	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aequorivita	genus	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0147432993720875	0.0625427945629478	0.0	0.0	0.0	0.0
Aerococcus	genus	Bacteria	0.0	0.0357712932206942	0.1160667333973198	0.0	0.0	0.0036858248430218	0.0125085589125895	0.0402412148806207	0.0	0.0	0.0
Aeromicrobium	genus	Bacteria	0.0	0.0341453253470263	0.1066876034258192	0.0	0.0249324975006429	0.070455959499303	0.0687970740192426	0.0593768974811956	0.0020726955365448	0.0038354800022295	0.0
Aeromonas	genus	Bacteria	0.0	0.0	0.0322407592770332	0.0	0.0	0.0	0.040652816465916	0.0	0.0	0.0	5.377539496418086
Aestuariivita	genus	Bacteria	0.0108074254509836	0.0106062062166352	0.009363186738891	0.0125199143048115	0.0082332264132839	0.0035712897486935	0.0144855284486935	0.0089034533529164	0.0262099782533704	0.0034403093353331	0.008608724746407
Afipia	genus	Bacteria	4.9990256899967545	0.6941643551297334	0.5710389885070611	0.3841875687784791	0.2899380284488893	0.4403130868928047	0.2518821272209678	0.4645722420956176	1.1052150754183627	0.1452653859675699	3.846893432491954
Aggregatibacter	genus	Bacteria	0.0	0.0	0.0039763603108341	0.0	0.0	0.0084159667248999	0.0043779956194063	0.001238191227096	0.0	0.0440760576922878	0.0
Agreia	genus	Bacteria	0.0	0.0027277750512192	0.0013433649698763	0.0003376080786943	0.0	0.0	0.0009476180994386	0.0	0.0031666181808324	0.0	0.0
Agrobacterium	genus	Bacteria	0.0068537003753088	0.3358271185056383	0.0184173440118004	0.0111677537117062	0.0	0.0592022816851584	0.5147561327897147	0.0573820222855254	0.1773974117596214	0.0102237889707126	0.0994338413158137
Agrococcus	genus	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Agromyces	genus	Bacteria	0.0009595180525432	0.0152255426393295	0.0221415917499566	0.0025290695010895	0.0	0.0044128865314873	0.0124445046210757	0.0487207929325564	0.0196578294727339	0.0	0.0050477529691033
Ahrensia	genus	Bacteria	0.0	0.0097558072420075	0.0	0.0028561643457543	0.0	0.0	0.0005863386990276	0.0	0.0	0.0	0.0
Alicycliphilus	genus	Bacteria	0.0249335870703083	0.0165936379592961	0.0198770699884368	0.0133081711872512	0.0114585876719372	0.006484218842469	0.0211709960900165	0.0150638181135659	0.0484334892753549	0.0041094428595316	0.0208198059854303
Aliihoeflea	genus	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aliiroseovarius	genus	Bacteria	0.0	0.0007226523882968	0.0	0.0	0.0	0.0	0.0	0.000773869516935	0.0022799650901993	0.0	0.0
Alishewanella	genus	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alkalilimnicola	genus	Bacteria	0.0	0.0004064919684169	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alkanindiges	genus	Bacteria	0.0	0.0032519357473358	0.1268136531563309	0.0021156772931513	0.0	0.0036858248430218	0.0	0.0	0.0	0.0	0.0
Alloactinosynnema	genus	Bacteria	0.0	0.0	0.0001535274251287	0.0003966894924658	0.0009959865112197	0.00012709740838	0.0001042379909382	0.0	0.0	0.0007670960004459	0.0002926233605277
Allokutzneria	genus	Bacteria	0.0	0.0	0.0001240029202962	0.0	0.0005691351492684	0.00012709740838	0.0001042379909382	0.0	0.0	0.0	0.0
Alloprevotella	genus	Bacteria	0.0	0.4520190688796823	0.1450834167466498	0.6569177995235055	0.9880186191299548	0.1842912421510944	0.1375941480384852	0.0340502587451406	0.0265995927189926	0.1917740001114773	0.2759438289776491
Alloscardovia	genus	Bacteria	0.0	0.0	0.0	0.0095205478191812	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Altererythrobacter	genus	Bacteria	0.0607694766610722	0.0297768916597718	0.0233745504758491	0.0007933789849317	0.0079678920897576	0.0268538667134451	0.0187628383688843	0.0355685170355083	0.0037999418169989	0.0	0.0013460674584275
Alysiella	genus	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0116550249202828	0.0050792330129909	0.0	0.0	0.0	0.0
Aminobacter	genus	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0001954462330092	0.00412730409032	0.0	0.0	0.0
Amycolatopsis	genus	Bacteria	0.0	0.0004645622496194	0.0035591790575516	0.0	0.0007683324515123	0.00012709740838	0.0001042379909382	0.0	0.0039519394896789	0.0019177400011147	0.1779735278729651
Anaerobacillus	genus	Bacteria	0.0	0.0012543180739723	0.0130457716801889	0.0056083227069294	0.0107779968892704	0.0	0.0035292005503377	0.0040536022315643	0.0026329433685383	0.0129789903646874	0.0005608614410114
Anaerococcus	genus	Bacteria	0.0	0.0	0.0	0.0126940637589083	0.0	0.0	0.0	0.0	0.0265995927189926	0.0	0.0538426983371022
Anaeromyxobacter	genus	Bacteria	0.0	0.0	0.0008060189819258	0.0	0.0	0.0	0.0031271397281473	0.0	0.0	0.0	0.0
Anaerostipes	genus	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0024572165620145	0.0	0.00206365204516	0.0	0.0	0.0078520601741607
Anaerotruncus	genus	Bacteria	0.0	0.0130077429893433	0.0	0.0	0.0	0.0	0.0093814191844421	0.0	0.0	0.0	0.0
Anoxybacillus	genus	Bacteria	0.0	0.0013007742989343	0.001361276502808	0.0222042406109662	0.0022575694254313	0.0	0.0031271397281473	0.00412730409032	0.0	0.0	0.0010354365064827
Aquabacterium	genus	Bacteria	0.0	0.0321520888891289	0.0074460801187434	0.0210152090666924	0.0104067821364623	0.003905219178916	0.0150854469420283	0.0028420570610954	0.0296722562944598	0.0009588700005573	0.041494657690399
Aquaspirillum	genus	Bacteria	0.0	0.0004645622496194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aquincola	genus	Bacteria	0.0203616376277584	0.041157735186044	0.0061959431147144	0.0398947804228952	0.0001593578417951	0.0063766119903268	0.0183948731926626	0.0053292655777936	0.1073918538327045	0.0	0.0011367387700979
Archangium	genus	Bacteria	0.0	0.0013007742989343	0.0005373459879505	0.0	0.0	0.0	0.0031271397281473	0.0	0.0	0.0	0.0
Arcobacter	genus	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0067303372921377
Arenimonas	genus	Bacteria	0.0	0.0357712932206942	0.1063945056142098	0.0126940637589083	0.0	0.0552873726453283	0.0609792246988741	0.0471200550311541	0.0	0.0038354800022295	0.0017199750857685
Aromatoleum	genus	Bacteria	0.0	0.006488386086351	0.0007164613172674	0.0003173515939727	0.0	0.0037416706739767	0.0007817849320368	0.00103182602258	0.0002576972036815	0.0	0.0120585209817468
Arthrobacter	genus	Bacteria	0.0	0.0697607966464941	0.0610707904961764	0.0075010376757185	0.0443371095598271	0.1105525716216942	0.0594858206354468	0.0748893200286419	0.1652995399881921	0.0075866637406738	0.0431475805310506
Asinibacterium	genus	Bacteria	0.0	0.0	0.0032240759277033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aspergillus	genus	Fungi	0.0	0.0	0.0	0.0	0.0637431367180615	0.0	0.0	0.0	0.0	0.0	0.0
Asterionella	genus	Eukaryota	0.0	0.1302507022274459	0.0	0.0192526633676776	0.0	0.0090917012794539	0.0128460914546753	0.0	0.0017416399994578	0.0	0.0681580189267286
Asterionellopsis	genus	Eukaryota	0.0	0.2247000789271513	0.0029016683349329	0.0012694063758908	0.0	0.0	0.0117863385468031	0.0	0.0060799069071983	0.0015981166675956	0.0207091410171572
Asticcacaulis	genus	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0036858248430218	0.0	0.0	0.0	0.0	0.0
Atopobium	genus	Bacteria	0.0	0.0422751647153659	0.0698549784335721	0.3702435263014926	0.4023785505327638	0.2985518122847731	0.0875599123881269	0.0	0.087398661790976	0.4295737602497093	0.0134606745842755
Aurantimonas	genus	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aureimonas	genus	Bacteria	0.0095951805254324	0.0136271593221692	0.013935172620851	0.2168827234906165	0.0119518381346365	0.0036858248430218	0.0	0.0263115635757904	0.03609944726149	0.007670960004459	0.0134606745842755
Austwickia	genus	Bacteria	0.0	0.0002709946456113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Azoarcus	genus	Bacteria	0.0	0.0154699229123262	0.0251836153019493	0.0009520547819181	0.0	0.0219334501075279	0.0023453547961105	0.00309547806774	0.000515394407363	0.0016437771438126	0.1934971971489612
Azorhizobium	genus	Bacteria	0.0	0.0260154859786867	0.0042987679036044	0.0021156772931513	0.0	0.0024572165620145	0.0042333388156553	0.0340502587451406	0.0078882321601113	0.0	0.0008412921615172
Azospira	genus	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0007697668591077	0.0	0.0	0.0	0.0005479257146042	0.0
Azospirillum	genus	Bacteria	0.0	0.0097558072420075	0.0257926074216266	0.0	0.0	0.0110574745290656	0.0156356986407369	0.0185728684064403	0.0	0.0	0.1043202280281356
Azotobacter	genus	Bacteria	0.0	0.0001858248998477	0.0005861956232187	0.0	0.0	0.0001053092812291	0.0	0.0	0.0	0.0	0.0
Azovibrio	genus	Bacteria	0.0	0.0707683160253562	0.0	0.0	0.0	0.0009214562107554	0.0078178493203684	0.0	0.0	0.0005479257146042	0.0
Bacillus	genus	Bacteria	0.0	0.0557530872102881	0.0335016408851738	0.1979813308491921	0.053079826060259	0.034352851151302	0.0365919145668428	0.036384259324158	0.1150795977695806	0.064869838561518	0.0355002451649095
Bacteroides	genus	Bacteria	0.0	0.0032519357473358	0.0064481518554066	0.0444292231561791	0.0159357841795153	0.0700306720174158	0.0656699342910952	0.0	0.1443977890459603	0.007670960004459	0.2826741662697869
Bariatricus	genus	Bacteria	0.0	0.0	0.0008060189819258	0.0	0.0075574249214974	0.0	0.0	0.0	0.0017069579908106	0.001438305000836	0.0135009789129369
Bartonella	genus	Bacteria	0.0	0.0002942227580922	0.0	0.0	0.0	0.0002632732030729	0.0086802580643406	0.0001105527881335	0.0	0.0	0.0004486891528091
Basfia	genus	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0015635698640736	0.0	0.0	0.0	0.0
Bdellovibrio	genus	Bacteria	0.0	0.019511614484015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Beijerinckia	genus	Bacteria	0.0023987951313581	0.0007226523882968	0.0024180569457774	0.0	0.0	0.0	0.0093814191844421	0.0	0.0	0.0	0.0022434457640459
Bergeriella	genus	Bacteria	0.0	0.0053656939831041	0.0037844510294231	0.1851153279682388	0.0778673585669113	0.0674473894405114	0.0960479105784668	0.0049406539530792	0.0412393685613255	0.2849370890179202	0.0141096713945888
Bergeyella	genus	Bacteria	0.0	0.0036132619414842	0.0001612037963851	0.0003526128821918	0.0278876223141519	0.0073716496860437	0.0158002849422184	0.0040322674829771	0.0	0.0067120900039017	0.0174216674624839
Beutenbergia	genus	Bacteria	0.0	0.0001161405624048	0.0	0.003173515939727	0.0	0.0007371649686043	0.0	0.0	0.017285204877682	0.0	0.0
Bibersteinia	genus	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0010423799093824	0.0	0.0	0.0	0.0
Bifidobacterium	genus	Bacteria	0.0575710831525947	0.0059126104497015	0.0	0.0450823583811482	0.0159357841795154	0.0294865987441751	0.0	0.00309547806774	0.0066498981797481	0.007670960004459	0.1340883739048511
Blastochloris	genus	Bacteria	0.0	0.001373039537764	0.0009211645507723	0.0	0.0	0.0036858248430218	0.0	0.0	0.0	0.0	0.0
Blastococcus	genus	Bacteria	0.0	0.0260154859786867	0.0064481518554066	0.0476027390959062	0.0318715683590307	0.0	0.0	0.0021574544108491	0.3419947635299061	0.0	0.0
Blastomonas	genus	Bacteria	0.0	0.0048779036210037	0.0048361138915549	0.0047602739095906	0.0	0.0031592784368759	0.0	0.0173346771793443	0.0	0.0	0.0098516773415188
Blastopirellula	genus	Bacteria	0.0	0.0032519357473358	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Blautia	genus	Bacteria	0.0	0.0	0.0103170429686506	0.0115455532283404	0.0007243538263416	0.0036858248430218	0.0	0.0	0.0	0.0	0.0702198524146375
Bordetella	genus	Bacteria	0.0	0.0452358989835755	0.7730804365338689	0.0515339854310624	0.0146449485146245	0.0108263587055754	0.0070342420458327	0.0756589177822904	0.2582754033811769	0.0094641714340729	0.0108068082352736
Bosea	genus	Bacteria	0.0143927707881486	0.3265485479616411	0.0919871377460719	0.0095205478191812	0.0	0.0330495627590962	0.0792729921085363	0.1447651909679766	0.0473032439679592	0.0123283285785949	0.0
Brachybacterium	genus	Bacteria	0.0	0.0032519357473358	0.0	0.0	0.0278876223141519	0.0	0.0	0.0	0.0	0.0	0.0
Brachymonas	genus	Bacteria	0.0092684000266766	0.0061159573078236	0.0059208403766189	0.0013837823365788	0.0017453477910897	0.0021890166089425	0.007157671804539	0.0075319090567829	0.0113240849014309	0.0010958514292084	0.0080949748881481
Brenneria	genus	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007599883633997	0.0	0.0
Brevibacillus	genus	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.004690709592221	0.0	0.0	0.0	0.0
Brevibacterium	genus	Bacteria	0.0	0.0	0.0	0.0222146115780895	0.0	0.0073716496860437	0.0125085589125895	0.0	0.2963954617259186	0.0115064400066886	0.0
Brevundimonas	genus	Bacteria	0.7388289004582987	1.4338982482874607	0.942843669978454	0.2838210282361599	0.1705128907208147	1.7492879496452087	2.85652368940022	6.636818689997874	1.420977549989786	0.1787333681038968	0.7124353380320567
Brucella	genus	Bacteria	0.8653109341447384	0.5855739440776124	0.0410020596154157	0.0752720121452051	0.0145795472280672	0.1101335225272658	0.3039556817527876	0.4016276618436324	0.3202174836185682	0.0278736639272753	0.1554932963703905
Bulleidia	genus	Bacteria	1.141826482526462	0.0	0.0580333666986599	0.0222146115780895	0.0	0.1474329937208756	0.0	0.0309547806774005	0.0075998836339979	0.007670960004459	0.0386994394297922
Burkholderia	genus	Bacteria	0.3413790009390797	1.1196554081922954	1.5108328584650232	1.077671944267612	0.3110569126729319	0.4548840792764648	0.2476023001314559	0.8308655657608555	1.2724171084949962	0.1113286394556339	2.8564023983023588
Butyricicoccus	genus	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Butyrivibrio	genus	Bacteria	0.0	0.0065038714946716	0.0	0.0317351593972708	0.1553738957502751	0.0221149490581313	0.0	0.0	0.0	0.0690386400401318	0.0449250014250197
Caballeronia	genus	Bacteria	0.0046745751277747	0.0120855166636875	0.0106275719689195	0.0080477585488305	0.0035982594022566	0.0003949098046094	0.0009286657374498	0.0009214108889837	0.0136263721295986	0.0014445314294111	0.0152146132091546
Caenimonas	genus	Bacteria	0.0067489923201684	0.0073888989575155	0.0036766572000311	0.00180551363576	0.0005970758272356	0.0017862088694716	0.002045501411085	0.0015980074811239	0.0023283618440467	0.0001180147692993	0.0070217912283208
Caldimonas	genus	Bacteria	0.0	0.0173830747221225	0.0151134203501723	0.000906718839922	0.0	0.009653350779343	0.0059564566250426	0.031347857257431	0.0025332945446659	0.0	0.0
Campylobacter	genus	Bacteria	0.0095951805254324	1.235735583987621	0.4771632373000927	0.5680593532111474	1.3824292775729603	0.3243525861859262	0.1782469645044013	0.7676785607995339	0.896786268811754	0.8054508004682046	0.4071854061743358
Candidatus_Accumulibacter	genus	Bacteria	0.0	0.0005002978072824	0.0	0.0	0.0	0.0007697668591077	0.0	0.0	0.0	0.0	0.0
Candidatus_Berkiella	genus	Bacteria	0.0	0.0	0.0032240759277033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus_Hepatobacter	genus	Bacteria	0.0	0.0008698327754014	0.0	0.0	0.0001171748836729	0.0001053092812291	0.0006548396347339	0.0010342104944809	0.0	0.0	0.0
Candidatus_Koribacter	genus	Bacteria	0.0	0.0	0.0096722277831099	0.0	0.0	0.0	0.0	0.0061909561354801	0.0	0.0	0.0
Candidatus_Methylopumilus	genus	Bacteria	0.0	0.0	0.0	0.0111073057890447	0.0025834560303601	0.0	0.0	0.0	0.0018999709084994	0.0003652838097361	0.0
Candidatus_Solibacter	genus	Bacteria	0.0	0.0065038714946716	0.0032240759277033	0.0761643825534499	0.0	0.0	0.0031271397281473	0.0	0.0037999418169989	0.0	0.0
Candidatus_Thiodiazotropha	genus	Bacteria	0.0	0.0159886840910679	0.0	0.0063470318794541	0.0026559640299192	0.0036858248430218	0.0137072958083794	0.00309547806774	0.0369227679885065	0.0	0.0
Capnocytophaga	genus	Bacteria	0.0383807221017298	0.1615128087843469	2.0096356130787925	0.5246879687015439	2.063494339530821	0.1142605701336785	0.2957752992872741	0.7232731908992154	0.0709322472506472	2.141111050768427	0.6497579794118016
Cardiobacterium	genus	Bacteria	0.0	0.0	0.0225685314939233	0.0539497709753603	0.0	0.0	0.0125085589125895	0.00309547806774	0.0	0.007670960004459	0.0
Carnobacterium	genus	Bacteria	0.0	0.007050625526916	0.0832902051729599	0.0507089406210028	0.0649307088463995	0.0131241691731886	0.0296538947572536	0.0265431918533368	0.0600186869704492	0.0730801616108572	0.0085006460969714
