B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
P394T	0	0	0.126154447466592	0.00690291130460045	0	0.263619474217515	0	0	0	0	0.0266420967004652	0	0	0.439538359935997	0	0.0918332126854914	0	0.0387774053880425	0	0.00653209230129541	0	0	9999	0.156837563225325	1.05433372224516
P394N	0.04306630056115	0.0413231605910601	0.0862531995813518	0.198754082770717	0	0.200897563347702	0	0.064556495758348	0.0412281983220227	0	0.00334570568266399	0.0258883967472613	0.0316717090815312	0	0.0412010676302563	0.103950228044571	0.0451662211754995	0	0.0726976707058657	0	0	0	9999	0.0960484925365606	1.05655264678551
P368T	0.00921506149693146	0.045295731564668	0.0591872319465987	0.0795411316712287	0	0.0486808679598555	0.01267741383909	0.0563516655415569	0.0102988775416039	0	0.0306621934396826	0	0.0302098827383649	0.430136067952345	0	0.122367150932096	0	0.0614664437594703	0.000276781129092353	0.00363349848741567	0	0	9999	0.159351796251582	1.04910152272513
P368N	0.0122927001846247	0.0479175913213897	0.0202837722824823	0.0948377946800184	0	0.0556516171812673	0	0.0195200367147787	0	0	0	0.0123504624772836	0.0579910026552444	0	0	0.320803745782514	0	0.0104282611774496	0.330976116122297	0	0	0.0169468994206501	9999	0.189933489048488	1.01370762863364
P367T	0.12357082179108	0	0.176162519979938	0.130820014635779	0	0.00234491845375143	0.120279382809662	0.0902977564351149	0	0	0	0.00678665350307971	0.000595754059664525	0.0377160094284718	0.0896992302892994	0.0581503630983743	0	0.12532090783246	0.0370127865622466	0	0	0.00124288112107811	9999	0.39043547991735	0.922988450210192
P367N	0.0889601742464891	0	0.0748312751781521	0.160635697278049	0	0.150469328208703	0.00696359432103798	0.0582826326910394	0.0475661282848842	0	0.0120212120142895	0	0.0608243638873884	0	0	0.0335064776842601	0.0928976501667496	0.0497623881661674	0	0.163279077872791	0	0	9999	0.131303301566414	1.03593244990648
P326T	0	0.0284047053965918	0.0464318126687307	0.128656987730523	0	0.137790997020032	0.0418453159385888	0.0717413315923459	0	0	0.0283084361652549	0.0541812988542652	0.0442648316422924	0	0.0835864908837167	0.230926154322987	0.0102119647456517	0	0.0936496730390197	0	0	0	9999	0.131207050468292	1.02921944632338
P326N	0	0.112345476581007	0.112601708635237	0.125731198574816	0	0.121508500931304	0	0.0912240531467846	0	0	0	0.0244166767666314	0.0442206903549157	0	0	0.0853878067930378	0.0629767743884116	0.0565560766280283	0.160886076563405	0	0	0.00214496063642156	9999	0.240737117725744	0.983572263995097
P311T	0.113367874912968	0	0.0399579514041108	0.0808192111944036	0	0.161223262040233	0	0.0901332018294981	0.00433873718694128	0	0.00954799545521296	0	0.0102335937351669	0	0.0309963889036905	0.21907026828234	0.0704404577950522	0	0.00410139331531812	0.0351785294127171	0.0698255252678004	0.0607656092645471	9999	0.199553101575305	0.999162423201968
P303T	0.0163311443466062	0.000614378181617684	0.206332301844154	0.0760555668693869	0	0.248065695777781	0.0238200844757433	0.0130659959189101	0.0170187895728931	0	0.0492786880788021	0	0.0282521698142264	0.102219299248728	0.0553168034203758	0.0977787461814378	0	0.0173101903434768	0.0407942912188552	0.00152236188572257	0.000156591713309115	0.00606690110797374	9999	0.330376409453839	0.949066817680307
