Tumor_Sample_Barcode	total	total_perMB	total_perMB_log
P394T	12029	240.58	2.38125952054885
P394N	12301	246.02	2.39097041416262
P368T	12568	251.36	2.4002961676959
P368N	12264	245.28	2.3896621375103
P367T	12327	246.54	2.39188739164551
P367N	12305	246.1	2.3911116137028
P343T	12541	250.82	2.39936216351167
P343N	12309	246.18	2.39125276735056
P328T	12425	248.5	2.39532639306935
P328N	12339	246.78	2.39230995989282
P326T	12645	252.9	2.40294882934441
P326N	12506	250.12	2.39814842000863
P303T	12361	247.22	2.39308360208946
P303N	12374	247.48	2.39354010734796
P270T	12556	251.12	2.39988130269199
P270N	12479	249.58	2.39720978037878
P268T	12255	245.1	2.38934331125208
P268N	12185	243.7	2.38685552918472
P229T	12032	240.64	2.38136781891155
P229N	12212	244.24	2.38781679129061
P223T	12210	244.2	2.38774565960886
P223N	12293	245.86	2.39068787728551
P207T	12224	244.48	2.3882433368956
P207N	12184	243.68	2.38681988599197
P198T	11701	234.02	2.36925297501043
P198N	12604	252.08	2.40153839016594
P193T	12187	243.74	2.38692680679557
P193N	12334	246.68	2.39213393975427
P180T	12130	242.6	2.38489079653055
P180N	12177	243.54	2.38657030170093
P160T	13824	276.48	2.4416637207988
P160N	12225	244.5	2.38827886345964
P156T	13442	268.84	2.42949388672874
P156N	12237	244.74	2.38870495570074
